Writing embeddings.word_embeddings.weight shape=(128100, 768) dtype=float32
Writing embeddings.LayerNorm.weight shape=(768,) dtype=float32
Writing embeddings.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.0.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.0.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.0.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.0.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.0.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.0.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.0.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.0.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.0.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.0.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.0.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.0.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.0.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.0.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.0.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.0.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.1.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.1.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.1.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.1.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.1.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.1.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.1.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.1.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.1.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.1.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.1.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.1.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.1.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.1.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.1.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.1.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.2.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.2.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.2.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.2.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.2.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.2.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.2.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.2.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.2.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.2.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.2.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.2.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.2.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.2.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.2.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.2.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.3.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.3.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.3.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.3.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.3.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.3.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.3.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.3.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.3.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.3.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.3.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.3.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.3.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.3.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.3.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.3.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.4.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.4.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.4.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.4.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.4.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.4.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.4.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.4.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.4.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.4.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.4.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.4.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.4.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.4.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.4.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.4.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.5.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.5.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.5.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.5.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.5.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.5.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.5.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.5.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.5.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.5.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.5.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.5.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.5.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.5.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.5.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.5.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.6.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.6.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.6.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.6.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.6.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.6.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.6.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.6.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.6.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.6.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.6.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.6.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.6.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.6.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.6.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.6.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.7.attention.self.query_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.7.attention.self.query_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.7.attention.self.key_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.7.attention.self.key_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.7.attention.self.value_proj.weight shape=(768, 768) dtype=float32
Writing encoder.layer.7.attention.self.value_proj.bias shape=(768,) dtype=float32
Writing encoder.layer.7.attention.output.dense.weight shape=(768, 768) dtype=float32
Writing encoder.layer.7.attention.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.7.attention.output.LayerNorm.weight shape=(768,) dtype=float32
Writing encoder.layer.7.attention.output.LayerNorm.bias shape=(768,) dtype=float32
Writing encoder.layer.7.intermediate.dense.weight shape=(3072, 768) dtype=float32
Writing encoder.layer.7.intermediate.dense.bias shape=(3072,) dtype=float32
Writing encoder.layer.7.output.dense.weight shape=(768, 3072) dtype=float32
Writing encoder.layer.7.output.dense.bias shape=(768,) dtype=float32
Writing encoder.layer.7.output.LayerNorm.weight shape=(768,) dtype=float32
